event_id,source_tier,source_url
aripiprazole-abilify-schizophrenia-approval-us-2002,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22ARIPIPRAZOLE%22&limit=100
asenapine-saphris-schizophrenia-approval-us-2009,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22ASENAPINE%22&limit=100
bitopertin-negative-symptoms-phase-3-results-2017,peer_reviewed_primary_results,https://pubmed.ncbi.nlm.nih.gov/28117049/
brexpiprazole-rexulti-schizophrenia-approval-us-2015,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22BREXPIPRAZOLE%22&limit=100
cariprazine-vraylar-schizophrenia-approval-us-2015,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22VRAYLAR%22&limit=100
chlorpromazine-thorazine-schizophrenia-approval-us-1957,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22THORAZINE%22&limit=100
clozapine-clozaril-trs-approval-us-1989,regulatory,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2013/203479Orig1s000MedR.pdf
cobenfy-xanomeline-trospium-approval-us-2024,regulatory,https://www.fda.gov/news-events/press-announcements/fda-approves-drug-new-mechanism-action-treatment-schizophrenia
emraclidine-empower-acute-scz-topline-2024,company_press_release,https://www.prnewswire.com/news-releases/abbvie-provides-update-on-phase-2-results-for-emraclidine-in-schizophrenia-302301190.html
fluphenazine-prolixin-schizophrenia-approval-us-1959,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22PROLIXIN%22&limit=100
haloperidol-haldol-schizophrenia-approval-us-1967,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22HALDOL%22&limit=100
iclepertin-connex-cias-topline-2025,company_press_release,https://www.globenewswire.com/fr/news-release/2025/01/16/3010915/0/en/Boehringer-provides-update-on-iclepertin-Phase-III-program-in-schizophrenia.html
iloperidone-fanapt-schizophrenia-approval-us-2009,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22FANAPT%22&limit=100
loxapine-loxitane-schizophrenia-approval-us-1975,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22LOXITANE%22&limit=100
lu-af35700-trs-phase-3-results-2022,peer_reviewed_primary_results,https://pubmed.ncbi.nlm.nih.gov/36115192/
lumateperone-caplyta-schizophrenia-approval-us-2019,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22LUMATEPERONE%22&limit=100
lurasidone-latuda-schizophrenia-approval-us-2010,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22LURASIDONE%22&limit=100
molindone-moban-schizophrenia-approval-us-1974,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22MOBAN%22&limit=100
olanzapine-samidorphan-lybalvi-schizophrenia-approval-us-2021,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22LYBALVI%22&limit=100
olanzapine-zyprexa-schizophrenia-approval-us-1996,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22OLANZAPINE%22&limit=100
paliperidone-invega-schizophrenia-approval-us-2006,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22PALIPERIDONE%22&limit=100
perphenazine-trilafon-schizophrenia-approval-us-1957,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22TRILAFON%22&limit=100
pimavanserin-advance-negsx-topline-2019,company_press_release,https://acadia.com/en-us/media/news-releases/acadia-pharmaceuticals-announces-positive-top-line-results
pimavanserin-advance2-negsx-topline-2024,company_press_release,https://acadia.com/en-us/media/news-releases/acadia-pharmaceuticals-announces-top-line-results-phase-3-1
pomaglumetad-methionil-acute-scz-phase-3-comparison-2014,peer_reviewed_primary_results,https://pubmed.ncbi.nlm.nih.gov/24772351/
quetiapine-seroquel-schizophrenia-approval-us-1997,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.active_ingredients.name%3A%22QUETIAPINE%22&limit=100
risperidone-risperdal-schizophrenia-approval-us-1993,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22RISPERDAL%22&limit=100
thioridazine-mellaril-schizophrenia-approval-us-1962,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22MELLARIL%22&limit=100
thiothixene-navane-schizophrenia-approval-us-1967,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22NAVANE%22&limit=100
trifluoperazine-stelazine-schizophrenia-approval-us-1959,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22STELAZINE%22&limit=100
ulotaront-diamond-acute-scz-topline-2023,company_press_release,https://www.sumitomo-pharma.com/news/assets/pdf/ene20230731.1.pdf
ziprasidone-geodon-schizophrenia-approval-us-2001,regulatory,https://api.fda.gov/drug/drugsfda.json?search=products.brand_name%3A%22GEODON%22&limit=100
